2Nested_false-termination.c part1 3 1 bclt linear
AlternDiv.c part1 1 2 bclt linear
AlternDivWide.c part2 3 1 bclt linear
AlternDivWidening.c part2 3 1 bclt linear
AlternKonv.c part1 2 2 bclt linear
Bangalore_false-termination.c part1 2 1 bclt linear
Bangalore_v2_false-termination.c part1 2 1 mathsat linear
Bangalore_v3_false-termination.c part1 3 1 bclt linear
BradleyMannaSipma-CAV2005-Fig1-modified_false-termination.c part1 2 1 bclt linear
Cairo_nondet_false-termination.c part1 1 1 mathsat linear
Cairo_step2_false-termination.c part1 2 2 bclt linear
ChenCookFuhsNimkarOHearn-TACAS2014-Introduction_false-termination.c part1 1 1 mathsat linear
ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c part1 2 1 bclt linear
ChenFlurMukhopadhyay-SAS2012-Ex2.03_false-termination.c part1 3 1 bclt linear
ChenFlurMukhopadhyay-SAS2012-Ex2.04_false-termination.c part1 3 1 bclt linear
ChenFlurMukhopadhyay-SAS2012-Ex2.12_false-termination.c part1 3 1 mathsat linear
ChenFlurMukhopadhyay-SAS2012-Ex2.15_false-termination.c part1 2 1 mathsat linear
ChenFlurMukhopadhyay-SAS2012-Ex2.17_false-termination.c part1 2 1 bclt linear
ChenFlurMukhopadhyay-SAS2012-Ex3.02_false-termination.c part1 3 1 mathsat linear
ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c part1 3 1 bclt linear
Choose.c part1 1 1 mathsat linear
ChooseLife.c part1 2 1 bclt linear
ComplInterv2.c part1 1 1 z3 linear
ComplInterv3.c part1 1 2 mathsat linear
ComplxStruc.c part1 1 1 mathsat linear
ConvLower.c part1 1 2 mathsat linear
Cousot.c part1 1 1 mathsat linear
DivWithoutMinus.c part1 3 1 bclt linear
Et2.c part1 1 1 bclt linear
Et4.c part1 3 1 bclt linear
Even.c part1 1 1 mathsat linear
Ex01.c part1 1 2 bclt linear
Ex02.c part1 1 1 mathsat linear
Ex03.c part1 1 2 mathsat linear
Ex04.c part1 1 2 bclt linear
Ex05.c part1 3 1 mathsat linear
Ex06.c part1 2 1 bclt linear
Ex07.c part1 2 1 bclt linear
Ex08.c part1 1 1 bclt linear
Fibonacci.c part1 3 1 bclt linear
Flip.c part1 2 1 bclt linear
Flip2.c part1 2 2 mathsat linear
Gauss.c part1 1 1 mathsat linear
GCD.c part1 2 1 bclt linear
GCD2.c part1 2 1 bclt linear
Hanoi_2vars_false-termination.c part1 2 1 bclt linear
Hanoi_3vars_false-termination.c part1 3 1 mathsat linear
Hanoi_plus_false-termination.c part1 3 1 mathsat linear
Lcm.c part1 3 1 mathsat linear
LeikeHeizmann-WST2014-Ex5_false-termination.c part1 2 1 z3 linear
LeikeHeizmann-WST2014-Ex6_false-termination.c part1 2 1 bclt linear
Loop.c part1 2 1 bclt linear
Madrid_false-termination.c part1 1 1 bclt linear
Marbie1.c part1 1 2 mathsat linear
Marbie2.c part1 2 1 bclt linear
Middle.c part1 1 1 bclt linear
MirrorInterv.c part1 2 2 mathsat linear
MirrorIntervSim.c part1 2 1 mathsat linear
Mysore_false-termination.c part1 3 1 bclt linear
NarrowKonv.c part1 2 1 bclt linear
NO_00.c part1 1 2 bclt linear
NO_01.c part1 1 1 mathsat linear
NO_02.c part1 1 1 bclt linear
NO_03.c part1 1 1 mathsat linear
NO_04.c part2 1 1 bclt linear
NO_10.c part1 2 1 mathsat linear
NO_12.c part1 1 1 mathsat linear
NO_13.c part1 2 1 mathsat linear
NO_21.c part1 3 1 mathsat linear
NO_22.c part1 1 2 mathsat linear
NO_23.c part1 1 2 mathsat linear
NO_24.c part1 2 1 bclt linear
NonTermination1_false-termination.c part1 1 1 mathsat linear
NonTermination2_false-termination.c part1 2 1 mathsat linear
NonTermination4_false-termination.c part1 1 1 bclt linear
NonTerminationSimple2_false-termination.c part1 1 2 bclt linear
NonTerminationSimple3_false-termination.c part1 2 1 mathsat linear
NonTerminationSimple4_false-termination.c part1 1 1 mathsat linear
NonTerminationSimple5_false-termination.c part1 2 1 bclt linear
NonTerminationSimple6_false-termination.c part1 3 1 bclt linear
NonTerminationSimple7_false-termination.c part1 3 1 bclt linear
NonTerminationSimple8_false-termination.c part1 1 1 bclt linear
NonTerminationSimple9_false-termination.c part1 2 1 bclt linear
PastaC10.c part1 2 1 mathsat linear
Rotation180_false-termination.c part1 1 2 bclt linear
Singapore_plus_false-termination.c part1 2 1 bclt linear
Singapore_v1_false-termination.c part1 3 1 bclt linear
Singapore_v2_false-termination.c part1 2 1 bclt linear
Sunset.c part1 2 2 mathsat linear
Swingers.c part1 1 1 bclt linear
TrueDiv.c part1 2 1 bclt linear
TwoFloatInterv.c part1 2 2 mathsat linear
UpAndDown.c part1 2 1 mathsat linear
UpAndDownIneq.c part1 2 1 mathsat linear
Urban-WST2013-Fig1_false-termination.c part1 1 2 mathsat linear
Velroyen_false-termination.c part1 2 1 mathsat linear
WhileIncr.c part1 1 2 bclt linear
WhileIncrPart.c part1 1 1 mathsat linear
WhileNested.c part1 1 1 bclt linear
WhileNestedOffset.c part1 1 1 bclt linear
WhilePart.c part1 1 1 mathsat linear
WhileSingle.c part1 1 2 mathsat linear
WhileTrue_false-termination.c part1 1 1 bclt linear
WhileTrue.c part1 1 3 mathsat linear
DoubleNeg.c part1 1 1 z3 polynomial
ComplInterv.c part1 1 1 z3 polynomial
Factorial.c part2 1 1 bclt polynomial
ChenFlurMukhopadhyay-SAS2012-Ex2.06_false-termination.c -
ChenFlurMukhopadhyay-SAS2012-Ex2.11_false-termination.c -
ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c -
Narrowing.c -
collatz.c -
